date,nav
2022-03-23,189.45674341977892
2022-03-24,190.9492090990245
2022-03-25,190.7138962265024
2022-03-28,190.37646185872538
2022-03-29,192.27199220803098
2022-03-30,192.73608149866794
2022-03-31,190.65972116943857
2022-04-01,191.01435012953687
2022-04-04,192.2679632916245
2022-04-05,189.04957444165058
2022-04-06,187.3748615714936
2022-04-07,187.76925268846287
2022-04-08,187.37290076747635
2022-04-11,184.56712453318823
2022-04-12,184.97196812723936
2022-04-13,187.03892186244136
2022-04-14,184.5498982660891
2022-04-18,184.6830972613679
2022-04-19,184.96546388029068
2022-04-20,186.1906388812433
2022-04-21,183.8757658631769
2022-04-22,179.65259160966158
2022-04-25,179.96170603966422
2022-04-26,177.62491282858284
2022-04-27,177.10391882264256
2022-04-28,180.27881310889484
2022-04-29,175.3416270124663
2022-05-02,174.67799638805295
2022-05-03,175.02914834977537
2022-05-04,177.1227718015788
2022-05-05,174.1610442732059
2022-05-06,173.26721827589125
2022-05-09,171.84002726623245
2022-05-10,171.79317221942333
2022-05-11,172.33535830289765
2022-05-12,171.69741933045958
2022-05-13,172.5507023675102
2022-05-16,172.96017411053913
2022-05-17,173.37515343833206
2022-05-18,171.19862377902408
2022-05-19,171.74412663135985
2022-05-20,172.26821634376606
2022-05-23,173.1229920670904
2022-05-24,173.67572825624444
2022-05-25,174.26302494399852
2022-05-26,175.5201895809677
2022-05-27,177.45851252002976
2022-05-31,175.72575108868946
2022-06-01,175.57366053674176
2022-06-02,177.7292549164305
2022-06-03,176.39564522073422
2022-06-06,175.82334041174954
2022-06-07,177.22962066919055
2022-06-08,176.36873244580752
2022-06-09,174.89611732171758
2022-06-10,173.17458699463265
2022-06-13,168.36186450782182
2022-06-14,167.21760339372196
2022-06-15,169.21387773491597
2022-06-16,168.04643869884032
2022-06-17,167.22373485882574
2022-06-21,167.91984239097388
2022-06-22,168.58789301014107
2022-06-23,168.79418975350836
2022-06-24,170.34305647717426
2022-06-27,169.77985208806834
2022-06-28,168.83046988345296
2022-06-29,169.00859757008504
2022-06-30,167.94785407049142
2022-07-01,168.98557044130385
2022-07-05,167.2336996039239
2022-07-06,165.8948781934184
2022-07-07,167.2802715616465
2022-07-08,167.20575336856942
2022-07-11,166.97660415541236
2022-07-12,165.56300030132232
2022-07-13,165.921402599744
2022-07-14,164.7757892290471
2022-07-15,166.2858653748297
2022-07-18,165.84358643686645
2022-07-19,167.4396759379636
2022-07-20,167.51846464874373
2022-07-21,168.91037842117595
2022-07-22,168.74755197755965
2022-07-25,168.5881743735429
2022-07-26,167.61121303695742
2022-07-27,170.4213442268295
2022-07-28,172.45593782346037
2022-07-29,173.82065147027922
2022-08-01,174.51322379634115
2022-08-02,172.6369127039492
2022-08-03,174.6534828476864
2022-08-04,175.2364151189734
2022-08-05,173.4221164104647
2022-08-08,174.64485904157394
2022-08-09,174.46453265224883
2022-08-10,176.09084848663326
2022-08-11,175.309544930414
2022-08-12,177.65511532695564
2022-08-15,177.06768164693258
2022-08-16,177.1635771781797
2022-08-17,175.7929457868524
2022-08-18,176.241344756906
2022-08-19,174.00415153744902
2022-08-22,171.83959949399468
2022-08-23,172.0224329683137
2022-08-24,172.30857695104518
2022-08-25,174.06586141322921
2022-08-26,170.83210726880344
2022-08-29,170.17842401985857
2022-08-30,168.50437629907663
