Date,GLD,IEF,LQD,PDBC,SPY,TLT,^VIX
2018-04-06,126.38999938964844,85.20527648925781,88.03609466552734,8.660603523254395,229.51222229003906,96.58018493652344,21.489999771118164
2018-04-09,126.81999969482422,85.22183227539062,88.08126831054688,8.779309272766113,230.64334106445312,96.73976135253906,21.770000457763672
2018-04-10,127.12000274658203,85.0727767944336,88.10382080078125,8.927691459655762,234.31060791015625,96.56429290771484,20.469999313354492
2018-04-11,128.11000061035156,85.15558624267578,88.16395568847656,8.987045288085938,233.0823516845703,96.9072265625,20.239999771118164
2018-04-12,126.62000274658203,84.8492660522461,87.9233169555664,8.96726131439209,234.9999237060547,96.19739532470703,18.489999771118164
2018-04-13,127.44999694824219,84.92378234863281,87.95340728759766,8.977151870727539,234.31060791015625,96.42073059082031,17.40999984741211
2018-04-16,127.62999725341797,84.88236999511719,87.96089935302734,8.93758487701416,236.23704528808594,96.45265197753906,16.559999465942383
2018-04-17,127.75,84.93203735351562,87.96842956542969,8.947477340698242,238.7644500732422,96.71580505371094,15.25
2018-04-18,127.8499984741211,84.60088348388672,87.5172119140625,9.120590209960938,238.9412078857422,95.94221496582031,15.600000381469727
2018-04-19,127.5999984741211,84.36907958984375,87.18634796142578,9.090911865234375,237.6156768798828,95.1606674194336,15.960000038146973
2018-04-20,126.62999725341797,84.08763885498047,86.83293151855469,9.076075553894043,235.600830078125,94.4747543334961,16.8799991607666
2018-04-23,125.62000274658203,84.00479888916016,86.79528045654297,9.08102035522461,235.56553649902344,94.49870300292969,16.34000015258789
2018-04-24,126.2300033569336,83.90543365478516,86.53963470458984,9.02661418914795,232.39305114746094,94.06802368164062,18.020000457763672
2018-04-25,125.41000366210938,83.72330474853516,86.2689208984375,9.041451454162598,232.96746826171875,93.43799591064453,17.84000015258789
2018-04-26,124.97000122070312,83.96338653564453,86.52456665039062,9.076075553894043,235.33572387695312,94.09193420410156,16.239999771118164
2018-04-27,125.5,84.10416412353516,86.72010803222656,9.076075553894043,235.5567169189453,94.81771087646484,15.40999984741211
2018-04-30,124.58999633789062,84.19525146484375,86.64492797851562,9.115644454956055,233.7450714111328,94.98522186279297,15.930000305175781
2018-05-01,123.70999908447266,84.06331634521484,86.41036987304688,9.05134391784668,234.16043090820312,94.64308166503906,15.489999771118164
