date,regime_hmm,regime_composite,w_SPY,w_TLT,w_GLD,w_PDBC,gross_exposure,target_vol,realized_port_vol,nav,daily_return,rebalanced,turnover,cost,p_risk_on,p_neutral,p_risk_off
2017-12-28,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.06597448066160569,128.54491491567782,0.003546105653509605,False,0.0,0.0,1.008338676015814e-05,0.9999899166131369,1.1905945439829005e-13
2017-12-29,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.06656432556040973,128.3376811322605,-0.001612150768882849,False,0.0,0.0,0.9999882746438591,1.1689452634854664e-05,3.590363217792232e-08
2018-01-02,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.06598678643676362,129.19871312484256,0.006709112904219353,False,0.0,0.0,1.176126284731223e-05,0.9999882387369752,2.4107845557995405e-13
2018-01-03,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.06428718390230005,130.165693727529,0.007484444537400955,False,0.0,0.0,0.9999850409503978,1.4927106572317104e-05,3.1943075971372174e-08
2018-01-04,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.0674878711914549,130.7953578840064,0.004837404837217872,False,0.0,0.0,1.5591631071543953e-05,0.9999844083687517,5.840438192221953e-14
2018-01-05,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.07157378382193733,131.41751129102127,0.004756693334381422,False,0.0,0.0,0.9999827662316246,1.7231234745666195e-05,2.5337030432077824e-09
2018-01-08,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.07188684603992754,131.60625638456915,0.00143622483559214,False,0.0,0.0,1.315413012612661e-05,0.9999868458700127,1.9530709033928723e-14
2018-01-09,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.07208662682237969,131.44688904486878,-0.0012109404528207195,False,0.0,0.0,0.9999785167271812,2.1482666344069923e-05,6.064644238233089e-10
2018-01-10,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.07011284550722714,131.34266407091408,-0.0007929055964126604,False,0.0,0.0,1.2935581071687681e-05,0.9999870644187386,1.5862417114855385e-14
2018-01-11,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.06814821549209159,132.45066626286663,0.008435965569834222,False,0.0,0.0,0.9999774547208647,2.2540458789729397e-05,4.820436451258682e-09
2018-01-12,RISK_ON,RISK_ON,0.933327655175929,0.26017299640881636,0.16906388968329158,0.13743545873196317,1.5,0.15,0.0661445642113531,133.71926433464216,0.009577891207114282,False,0.0,0.0,1.4541080786064324e-05,0.9999854589188937,1.738436013125717e-13
